ID,Type,CircleMode,MX,MY,MZ,TX,TY,TZ,TR,TA,Speed,AccSpeed,IOStatus,StartDelay,EndDelay,StartDelayIOStatus,EndDelayIOStatus
1,0,-1,-,-,-,2.495850236,-1.062173714,0.000000000,0.000,0.000,10.000,10.000,0,0.000,0.000,0,0
2,0,-1,-,-,-,1.809879950,-0.956806857,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,1
3,0,-1,-,-,-,1.495850236,-0.562173714,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,0
4,0,-1,-,-,-,1.495850236,1.437826286,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,0
5,2,0,-0.004149764,1.737826286,0.000000000,-1.504149764,1.437826286,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,0
6,0,-1,-,-,-,-1.504149764,-0.562173714,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,0
7,0,-1,-,-,-,-2.004149764,-0.562173714,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,0
8,0,-1,-,-,-,-2.504149764,-1.062173714,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,0
9,0,-1,-,-,-,-3.004149764,-1.562173714,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,0
